File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/1-1-1-1-1_length_0_3.csv,1,1,1,1,1,1,1,1
/data/csv_files/2985982-2985982-2985982-2985982-2985982_random_m_5000.csv,2985982,2985982,2985982,2985982,2985982,2985982,2985982,2985982
/data/csv_files/117662-117662-117662-117662-117662_clustered_m_1.csv,117662,117662,117662,117662,117662,117662,117662,117662
/data/csv_files/3-2-3-2-2_parallel_and_collinear_11.csv,1,1,1,1,3,3,3,3
/data/csv_files/2250-2241-2250-2241-2241_star_intersections_9_4500.csv,2250,2250,2250,2250,2251,2250,2250,2250
/data/csv_files/1-1-1-1-1_multi_axis_6.csv,1,1,1,1,1,1,1,1
/data/csv_files/764463-764463-764463-764463-764463_clustered_xxxxxxxl_5.csv,764463,764463,764463,764463,764463,764463,764463,764463
/data/csv_files/116711-116711-116711-116711-116711_random_m_1000.csv,116711,116711,116711,116711,116711,116711,116711,116711
/data/csv_files/21000-20986-21000-20987-20984_star_intersections_10_7000.csv,21000,21000,21000,21000,21001,21000,21000,21000
/data/csv_files/22500-22461-22500-22470-22462_star_intersections_10_7500.csv,22500,22500,22500,22500,22504,22500,22500,22500
/data/csv_files/84947-84947-84947-84947-84947_clustered_xl_10.csv,84947,84947,84947,84947,84947,84947,84947,84947
/data/csv_files/139488-139488-139488-139488-139488_clustered_xxxl_10.csv,139488,139488,139488,139488,139488,139488,139488,139488
/data/csv_files/3500-3493-3500-3494-3493_star_intersections_9_7000.csv,3500,3500,3500,3500,3501,3500,3500,3500
/data/csv_files/2000000-122072-2000000-1500272-148870_star_intersections_8_m_2000.csv,22763,500804,11808,499804,2088756,1996640,1999000,1996640
/data/csv_files/4500000-195758-4500000-3326458-238153_star_intersections_7_s_3000.csv,42350,1105552,16957,1104052,3858096,4480376,4498500,4480376
/data/csv_files/1000-995-1000-995-995_star_intersections_9_2000.csv,1000,999,1000,999,1001,999,1000,999
/data/csv_files/4500000-228550-4500000-3375065-289468_star_intersections_8_l_3000.csv,49470,1040439,21663,1038939,4110380,4152452,4498500,4152452
/data/csv_files/1667-1667-1667-1667-1667_rounding_l_3000.csv,Error,1666,1667,1666,1667,1666,1667,1666
/data/csv_files/2000000-106391-2000000-1458868-128881_star_intersections_7_s_2000.csv,24238,485152,10674,484152,2175004,1991016,1999000,1991016
/data/csv_files/12500000-497588-12500000-9374063-606042_star_intersections_8_m_5000.csv,98398,3127078,37553,3124578,14626660,12494552,12497500,12494552
/data/csv_files/2000-1982-2000-1980-1980_star_intersections_9_4000.csv,2000,2000,2000,2000,2001,2000,2000,2000
/data/csv_files/1084203-1084203-1084203-1084203-1084203_random_s_3000.csv,1084203,1084203,1084203,1084203,1084203,1084203,1084203,1084203
/data/csv_files/0-0-0-0-0_multi_axis_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/981917-981580-981917-981580-981580_star_intersections_6_s_2000.csv,981659,981659,981659,981659,981917,981917,981917,981917
/data/csv_files/2294655-2294655-2294655-2294655-2294655_star_intersections_6_m_3000.csv,2294655,2294655,2294655,2294655,2294655,2294655,2294655,2294655
/data/csv_files/1-1-2-2-2_accuracy_8.csv,Error,2,0,1,1,1,1,1
/data/csv_files/2220-2220-2220-2220-2220_rounding_s_4000.csv,Error,18,2220,18,2220,18,2220,18
/data/csv_files/1895903-1895903-1895903-1895903-1895903_random_s_4000.csv,1895903,1895903,1895903,1895903,1895903,1895903,1895903,1895903
/data/csv_files/0-0-0-0-0_parallel_and_collinear_19.csv,0,0,0,0,0,0,0,0
/data/csv_files/8000000-350292-8000000-5999154-429994_star_intersections_8_s_4000.csv,76995,2001036,30436,1999036,8881228,7993280,7998000,7993280
/data/csv_files/1853540-6861-1999000-1001-1001_star_intersections_4_s_2000.csv,1,1,1,1,2060825,1999000,1998953,1999000
/data/csv_files/6349478-6349478-6349478-6349478-6349478_star_intersections_6_l_5000.csv,6349478,6349478,6349478,6349478,6349478,6349478,6349478,6349478
/data/csv_files/19500-19459-19500-19461-19461_star_intersections_10_6500.csv,19500,19490,19500,19490,19506,19490,19500,19490
/data/csv_files/1005993-1005993-1005993-1005993-1005993_star_intersections_6_m_2000.csv,1005993,1005993,1005993,1005993,1005993,1005993,1005993,1005993
/data/csv_files/4178686-12323-4498500-1501-1501_star_intersections_4_m_3000.csv,1,1,1,1,4658580,4498500,4498447,4498500
/data/csv_files/1-1-1-1-1_star_intersections_5.csv,1,1,1,1,1,1,1,1
/data/csv_files/120169-120169-120169-120169-120169_random_l_1000.csv,120169,120169,120169,120169,120169,120169,120169,120169
/data/csv_files/1500-1485-1500-1489-1484_star_intersections_10_500.csv,1500,1491,1500,1491,1503,1491,1500,1491
/data/csv_files/4-3-4-3-3_parallel_and_collinear_8.csv,3,3,2,2,3,3,3,3
/data/csv_files/3-2-3-2-2_multi_axis_5.csv,1,1,1,1,3,3,3,3
