File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/6-3-6-3-3_multi_axis_4.csv,0,0,0,0,0,0,0,0
/data/csv_files/2-2-2-2-2_parallel_and_collinear_17.csv,0,0,0,0,0,0,0,0
/data/csv_files/3250-3242-3250-3242-3242_star_intersections_9_6500.csv,40,72,2152,6091,36,76,902,1776
/data/csv_files/0-0-0-0-0_parallel_and_collinear_18.csv,0,0,0,0,0,0,0,0
/data/csv_files/484915-484915-484915-484915-484915_clustered_xxxxxl_5.csv,1190,2539,1460,4402,108,245,415,809
/data/csv_files/2-2-2-2-2_parallel_and_collinear_4.csv,0,0,0,0,0,0,0,0
/data/csv_files/555-555-555-555-555_rounding_m_1000.csv,Error,5,51,393,2,6,20,42
/data/csv_files/462787-2460-499500-501-501_star_intersections_4_s_1000.csv,3,14,93,2052,17,29,36,720
/data/csv_files/0-0-0-0-0_parallel_and_collinear_14.csv,0,0,0,0,0,0,0,0
/data/csv_files/1009947-1009947-1009947-1009947-1009947_star_intersections_6_l_2000.csv,4132,7559,2162,5457,71,214,124,249
/data/csv_files/8000000-343871-8000000-5999614-418435_star_intersections_8_m_4000.csv,178,40896,3768,175955,585,12404,554,1488
/data/csv_files/1-1-1-1-1_length_0_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/300947-300947-300947-300947-300947_clustered_xxxl_5.csv,750,1604,938,2704,72,163,237,459
/data/csv_files/3-2-3-3-2_star_intersections_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/3000-2977-3000-2986-2976_star_intersections_10_1000.csv,10,20,51,151,5,10,21,42
/data/csv_files/1-1-1-1-1_multi_axis_8.csv,0,0,0,0,0,0,0,0
/data/csv_files/8000000-299707-8000000-5833825-362645_star_intersections_7_s_4000.csv,Error,32773,3650,97282,585,3788,547,1339
/data/csv_files/8000000-299967-8000000-5838013-358626_star_intersections_7_m_4000.csv,182,35196,3518,96835,611,3605,548,1332
/data/csv_files/1-1-1-1-1_multi_axis_7.csv,0,0,0,0,0,0,0,0
/data/csv_files/3983232-3983232-3983232-3983232-3983232_star_intersections_6_m_4000.csv,19853,33158,12393,24521,248,643,490,997
/data/csv_files/16500-16416-16500-16460-16426_star_intersections_10_5500.csv,58,114,1547,4399,31,64,642,1278
/data/csv_files/12500000-499381-12500000-9373704-630160_star_intersections_8_l_5000.csv,299,58766,5562,256501,883,38221,854,2228
/data/csv_files/12500000-499036-12500000-9374121-613847_star_intersections_8_s_5000.csv,288,67411,5627,184860,934,13519,829,2173
/data/csv_files/8000000-347865-8000000-5999379-438633_star_intersections_8_l_4000.csv,200,36506,3663,88697,515,6535,524,1326
/data/csv_files/3750-3741-3750-3741-3741_star_intersections_9_7500.csv,50,100,2916,8120,42,88,1180,2321
