File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/4-3-4-3-3_parallel_and_collinear_8.csv,Error,114688,245760,360448,475136,409600,540672,32768,0,16384,114688,Error
./tests/21000-20986-21000-20987-20984_star_intersections_10_7000.csv,Error,524288,802816,16629760,38223872,10862592,32915456,6389760,4292608,1228800,20643840,Error
./tests/764463-764463-764463-764463-764463_clustered_xxxxxxxl_5.csv,Error,524288,950272,300613632,1022558208,223641600,952336384,196788224,195510272,884736,347815936,Error
./tests/7500-7440-7500-7458-7444_star_intersections_10_2500.csv,Error,393216,770048,6225920,13959168,4161536,12435456,3112960,1818624,442368,7274496,Error
./tests/11589358-26666-12497500-2501-2501_star_intersections_4_s_5000.csv,Error,475136,851968,6668288,7847936,4521984,6029312,-1245184,-737280,901120,5554176,Error
./tests/1895903-1895903-1895903-1895903-1895903_random_s_4000.csv,Error,475136,-933888,732069888,2453536768,545734656,2362458112,487276544,486752256,753664,785399808,Error
./tests/6243920-6237301-6243920-6237300-6237300_star_intersections_6_s_5000.csv,Error,376832,737280,1971486720,6840025088,1366065152,4885856256,1668644864,1202585600,Error,2726477824,Error
./tests/3940075-3938530-3940075-3938529-3938529_star_intersections_6_s_4000.csv,Error,475136,16384,1235615744,4235821056,833945600,4134420480,1044758528,759644160,Error,1666088960,Error
./tests/0-0-0-0-0_parallel_and_collinear_6.csv,Error,81920,196608,311296,606208,557056,475136,65536,0,0,114688,Error
./tests/1-1-1-1-1_accuracy_1.csv,Error,65536,262144,262144,327680,229376,327680,16384,0,0,Error,Error
./tests/92660-92660-92660-92660-92660_clustered_xl_5.csv,Error,393216,753664,39993344,127320064,29687808,117620736,24215552,23969792,344064,44892160,Error
./tests/1000-995-1000-995-995_star_intersections_9_2000.csv,Error,376832,770048,3276800,5521408,2752512,4440064,671744,606208,360448,3653632,Error
./tests/1-1-1-1-1_parallel_and_collinear_10.csv,Error,65536,245760,344064,425984,409600,491520,16384,0,0,114688,Error
./tests/500000-37686-500000-366115-45138_star_intersections_7_m_1000.csv,Error,409600,786432,47071232,161693696,34406400,149585920,41353216,28672000,Error,Error,Error
./tests/2294655-2294655-2294655-2294655-2294655_star_intersections_6_m_3000.csv,Error,393216,851968,737820672,2935226368,515178496,2738585600,588513280,442646528,540672,1068564480,Error
./tests/2775-2775-2775-2775-2775_rounding_s_5000.csv,Error,327680,-786432,6782976,11993088,4800512,9994240,950272,737280,884736,8978432,Error
./tests/556-556-556-556-556_rounding_l_1000.csv,Error,458752,720896,1851392,2899968,1327104,2572288,638976,344064,229376,1998848,Error
./tests/0-0-0-0-0_parallel_and_collinear_7.csv,Error,65536,180224,311296,376832,393216,475136,16384,0,0,114688,Error
./tests/1500-1495-1500-1495-1495_star_intersections_9_3000.csv,Error,294912,524288,4374528,6946816,3653632,6062080,1179648,655360,524288,4997120,Error
./tests/117662-117662-117662-117662-117662_clustered_m_1.csv,Error,507904,819200,48578560,158547968,36585472,147619840,30605312,30375936,229376,52576256,Error
./tests/2000000-106098-2000000-1461149-126885_star_intersections_7_m_2000.csv,Error,425984,851968,178651136,631767040,131153920,587481088,161955840,113508352,Error,Error,Error
./tests/7416835-19021-7998000-2001-2001_star_intersections_4_s_4000.csv,Error,458752,917504,5652480,7192576,3522560,5013504,475136,163840,704512,4456448,Error
./tests/2-2-2-2-2_parallel_and_collinear_17.csv,Error,114688,245760,376832,458752,409600,475136,81920,0,0,114688,Error
./tests/3-2-3-3-2_star_intersections_2.csv,Error,114688,212992,753664,884736,425984,573440,425984,32768,16384,114688,Error
./tests/116711-116711-116711-116711-116711_random_m_1000.csv,Error,491520,770048,46530560,155697152,34537472,147521536,30375936,28508160,229376,52674560,Error
./tests/6000-5866-6000-5935-5880_star_intersections_10_2000.csv,Error,393216,753664,5226496,11976704,3309568,9863168,2654208,1474560,344064,5636096,Error
./tests/1041752-1041752-1041752-1041752-1041752_random_m_3000.csv,Error,475136,770048,388759552,1371471872,285753344,1285177344,267911168,251314176,524288,445710336,Error
./tests/2000000-124691-2000000-1500025-152931_star_intersections_8_s_2000.csv,Error,458752,1376256,197050368,660488192,147816448,615661568,178061312,129187840,Error,41451520,Error
./tests/500000-38170-500000-365802-47236_star_intersections_7_l_1000.csv,Error,442368,638976,46071808,160137216,33816576,148766720,40337408,27541504,Error,13910016,Error
./tests/115125-115125-115125-115125-115125_random_s_1000.csv,Error,245760,622592,47497216,155566080,35586048,144244736,29835264,29769728,245760,51052544,Error
./tests/2839965-2839965-2839965-2839965-2839965_clustered_xxxxxxxl_1.csv,Error,491520,-147456,1076183040,3745103872,815480832,3481059328,730005504,727793664,884736,1268957184,Error
./tests/300947-300947-300947-300947-300947_clustered_xxxl_5.csv,Error,-540672,671744,121585664,407191552,90537984,382517248,77660160,77185024,524288,143245312,Error
./tests/750-742-750-742-742_star_intersections_9_1500.csv,Error,196608,573440,2670592,3948544,1933312,3391488,1015808,409600,262144,2654208,Error
./tests/1111-1111-1111-1111-1111_rounding_l_2000.csv,Error,524288,753664,2949120,5308416,2179072,4407296,507904,475136,360448,3391488,Error
./tests/4500000-224885-4500000-3375132-275762_star_intersections_8_m_3000.csv,Error,557056,1294336,432635904,1498365952,321454080,1412841472,396050432,285540352,Error,72761344,Error
./tests/2-2-2-2-2_parallel_and_collinear_4.csv,Error,114688,245760,376832,425984,573440,688128,81920,0,0,114688,Error
./tests/8000000-302557-8000000-5837259-372742_star_intersections_7_l_4000.csv,Error,409600,-114688,688259072,2533179392,499286016,2240888832,625721344,436895744,Error,88276992,Error
./tests/1111-1111-1111-1111-1111_rounding_m_2000.csv,Error,475136,704512,3325952,5046272,2179072,4325376,475136,507904,344064,3571712,Error
./tests/2000000-124514-2000000-1500140-157725_star_intersections_8_l_2000.csv,Error,442368,1556480,182009856,651018240,132726784,599719936,163758080,113737728,Error,43335680,Error
./tests/1017289-1017289-1017289-1017289-1017289_clustered_xxxl_1.csv,Error,475136,851968,394706944,1354809344,294502400,1264254976,261619712,260653056,524288,436699136,Error
./tests/1009947-1009947-1009947-1009947-1009947_star_intersections_6_l_2000.csv,Error,491520,786432,326811648,1279016960,227835904,1188003840,259833856,195067904,393216,440434688,Error
./tests/555-555-555-555-555_rounding_s_1000.csv,Error,393216,802816,1867776,2981888,1310720,2408448,311296,262144,229376,1916928,Error
./tests/1750-1743-1750-1743-1743_star_intersections_9_3500.csv,Error,458752,753664,4800512,8486912,4030464,7241728,1409024,688128,606208,6062080,Error
./tests/250-248-250-248-248_star_intersections_9_500.csv,Error,98304,557056,1310720,1966080,933888,1572864,655360,278528,114688,868352,Error
./tests/13500-13464-13500-13466-13464_star_intersections_10_4500.csv,Error,524288,835584,11403264,25608192,7192576,21463040,4554752,3047424,786432,12992512,Error
./tests/2-2-2-2-2_parallel_and_collinear_5.csv,Error,65536,245760,376832,442368,409600,475136,81920,0,0,114688,Error
./tests/1841642-1841642-1841642-1841642-1841642_random_m_4000.csv,Error,409600,851968,683950080,2435383296,503463936,2269249536,473432064,445759488,704512,794755072,Error
./tests/10500-10466-10500-10474-10467_star_intersections_10_3500.csv,Error,409600,786432,8437760,19824640,5488640,17301504,3784704,2310144,606208,10092544,Error
./tests/555-555-555-555-555_rounding_m_1000.csv,Error,507904,802816,2015232,3014656,1425408,2637824,344064,278528,229376,1785856,Error
./tests/2000000-107339-2000000-1461550-132721_star_intersections_7_l_2000.csv,Error,524288,802816,175669248,634781696,127909888,583745536,157859840,109494272,Error,35586048,Error
./tests/255428-255370-255428-255370-255370_star_intersections_6_s_1000.csv,Error,393216,671744,85245952,324141056,59604992,299778048,67043328,49479680,229376,111034368,Error
./tests/84947-84947-84947-84947-84947_clustered_xl_10.csv,Error,376832,983040,36864000,117096448,27459584,109330432,22020096,22052864,360448,41877504,Error
./tests/248267-248267-248267-248267-248267_star_intersections_6_l_1000.csv,Error,425984,999424,83050496,314507264,57982976,291635200,64061440,48054272,229376,108298240,Error
./tests/16500-16416-16500-16460-16426_star_intersections_10_5500.csv,Error,344064,-262144,12582912,30031872,8568832,26066944,5259264,3325952,1015808,16252928,Error
./tests/3-2-3-2-2_multi_axis_5.csv,Error,81920,245760,344064,458752,655360,589824,65536,0,16384,114688,Error
./tests/1884847-1884847-1884847-1884847-1884847_random_l_4000.csv,Error,475136,-114688,667303936,2391752704,482115584,1727922176,483180544,423706624,720896,811941888,Error
./tests/2220-2220-2220-2220-2220_rounding_s_4000.csv,Error,475136,-425984,5685248,9568256,4292608,7913472,786432,704512,720896,6995968,Error
./tests/462787-2460-499500-501-501_star_intersections_4_s_1000.csv,Error,-65536,819200,2260992,2490368,1572864,1474560,425984,163840,229376,1114112,Error
./tests/11822199-27676-12497500-2501-2501_star_intersections_4_l_5000.csv,Error,376832,-655360,6881280,8863744,4390912,6062080,524288,327680,884736,5488640,Error
./tests/2-2-2-2-2_parallel_and_collinear_3.csv,Error,65536,245760,360448,442368,409600,475136,32768,0,0,114688,Error
./tests/6251163-6251163-6251163-6251163-6251163_star_intersections_6_m_5000.csv,Error,524288,950272,1963933696,6713163776,1374420992,6425362432,1605959680,1205944320,884736,2729787392,Error
./tests/1005993-1005993-1005993-1005993-1005993_star_intersections_6_m_2000.csv,Error,425984,835584,325402624,1274036224,227475456,1183432704,258719744,194297856,344064,440205312,Error
./tests/4178686-12323-4498500-1501-1501_star_intersections_4_m_3000.csv,Error,475136,884736,4505600,5603328,2998272,3997696,491520,212992,524288,3358720,Error
./tests/0-0-0-0-0_multi_axis_1.csv,Error,0,0,278528,327680,245760,327680,16384,0,0,98304,Error
./tests/139488-139488-139488-139488-139488_clustered_xxxl_10.csv,Error,524288,819200,59408384,192757760,44154880,178995200,36241408,35880960,524288,70516736,Error
./tests/1-1-1-1-1_length_0_4.csv,Error,65536,245760,Error,Error,Error,Error,32768,0,0,114688,Error
./tests/0-0-0-0-0_parallel_and_collinear_20.csv,Error,65536,245760,262144,327680,229376,327680,16384,16384,0,114688,Error
./tests/8000000-343871-8000000-5999614-418435_star_intersections_8_m_4000.csv,Error,409600,1294336,707346432,2594144256,571064320,2485600256,701022208,505970688,Error,Error,Error
./tests/3983232-3983232-3983232-3983232-3983232_star_intersections_6_m_4000.csv,Error,573440,835584,1251688448,4647485440,865583104,3984244736,1023459328,768458752,704512,1658667008,Error
./tests/3996408-3996408-3996408-3996408-3996408_star_intersections_6_l_4000.csv,Error,393216,917504,1255538688,3500883968,867516416,4307451904,1026801664,770850816,704512,1691680768,Error
./tests/4256775-13230-4498500-1501-1501_star_intersections_4_l_3000.csv,Error,524288,950272,4800512,5734400,3014656,4243456,491520,344064,524288,3293184,Error
./tests/3250-3242-3250-3242-3242_star_intersections_9_6500.csv,Error,524288,819200,8437760,14581760,6750208,12697600,1851392,983040,1146880,11173888,Error
